name,code,pop
Afghanistan,AFG,36263
Albania,ALB,4880
Algeria,DZA,27973
Andorra,AND,907
Angola,AGO,950
Antigua and Barbuda,ATG,86
Argentina,ARG,167416
Armenia,ARM,37390
Australia,AUS,15303
Austria,AUT,20558
Azerbaijan,AZE,30446
Bahamas,BHS,382
Bahrain,BHR,39482
Bangladesh,BGD,226225
Barbados,BRB,110
Belarus,BLR,67251
Belgium,BEL,66428
Belize,BLZ,48
Benin,BEN,1770
Bhutan,BTN,99
Bolivia,BOL,71181
Bosnia and Herzegovina,BIH,10498
Botswana,BWA,739
Brazil,BRA,2442375
Brunei,BRN,141
Bulgaria,BGR,10621
Burkina Faso,BFA,1100
Burma,MMR,350
Burundi,BDI,378
Cabo Verde,CPV,2328
Cambodia,KHM,226
Cameroon,CMR,17110
Canada,CAN,116458
Central African Republic,CAF,4599
Chad,TCD,922
Chile,CHL,347923
China,CHN,86783
Colombia,COL,257101
Comoros,COM,354
Congo (Brazzaville),COG,3200
Congo (Kinshasa),COG,8844
Costa Rica,CRI,15841
Cote d'Ivoire,CIV,15655
Croatia,HRV,4881
Cuba,CUB,2532
Cyprus,CYP,1060
Czechia,CZE,15516
Denmark,DNK,13761
Djibouti,DJI,5059
Dominica,DMA,18
Dominican Republic,DOM,64156
Ecuador,ECU,81161
Egypt,EGY,92482
El Salvador,SLV,15035
Equatorial Guinea,GNQ,3071
Eritrea,ERI,265
Estonia,EST,2034
Eswatini,SWZ,2316
Ethiopia,ETH,14547
Fiji,FJI,27
Finland,FIN,7398
France,FRA,220352
Gabon,GAB,7189
Gambia,GMB,326
Georgia,GEO,1137
Germany,DEU,207112
Ghana,GHA,33624
Greece,GRC,4227
Greenland,GRL,14
Grenada,GRD,23
Guatemala,GTM,45309
Guinea,GIN,7055
Guinea-Bissau,GNB,1954
Guyana,GUY,389
Haiti,HTI,7340
Holy See,VAT,12
Honduras,HND,39741
Hungary,HUN,4448
Iceland,ISL,1854
India,IND,1480073
Indonesia,IDN,100303
Iran,IRN,293606
Iraq,IRQ,112585
Ireland,IRL,25892
Israel,ISR,63985
Italy,ITA,246286
Jamaica,JAM,853
Japan,JPN,31142
Jordan,JOR,1176
Kazakhstan,KAZ,84648
Kenya,KEN,17975
Kosovo,XXK,7413
Kuwait,KWT,64379
Kyrgyzstan,KGZ,33296
Laos,LAO,20
Latvia,LVA,1219
Lebanon,LBN,3882
Lesotho,LSO,505
Liberia,LBR,1167
Libya,LBY,2827
Liechtenstein,LIE,86
Lithuania,LTU,2019
Luxembourg,LUX,6321
Madagascar,MDG,9690
Malawi,MWI,3664
Malaysia,MYS,8904
Maldives,MDV,3369
Mali,MLI,2513
Malta,MLT,701
Mauritania,MRT,6208
Mauritius,MUS,344
Mexico,MEX,395489
Moldova,MDA,23154
Monaco,MCO,116
Mongolia,MNG,289
Montenegro,MNE,2893
Morocco,MAR,20887
Mozambique,MOZ,1701
Namibia,NAM,1843
Nepal,NPL,18752
Netherlands,NLD,53413
New Zealand,NZL,1557
Nicaragua,NIC,3439
Niger,NER,1132
Nigeria,NGA,41180
North Macedonia,MKD,10213
Norway,NOR,9132
Oman,OMN,77058
Pakistan,PAK,274289
Panama,PAN,61442
Papua New Guinea,PNG,62
Paraguay,PRY,4548
Peru,PER,389717
Philippines,PHL,82040
Poland,POL,43402
Portugal,PRT,50299
Qatar,QAT,109597
Romania,ROU,45902
Russia,RUS,816680
Rwanda,RWA,1879
Saint Kitts and Nevis,KNA,17
Saint Lucia,LCA,24
Saint Vincent and the Grenadines,VCT,52
San Marino,SMR,699
Sao Tome and Principe,STP,865
Saudi Arabia,SAU,268934
Senegal,SEN,9764
Serbia,SRB,24141
Seychelles,SYC,114
Sierra Leone,SLE,1783
Singapore,SGP,50838
Slovakia,SVK,2181
Slovenia,SVN,2087
Somalia,SOM,3196
South Africa,ZAF,452529
South Korea,PRK,14203
South Sudan,SDN,2305
Spain,ESP,272421
Sri Lanka,LKA,2805
Sudan,SDN,11424
Suriname,SUR,1483
Sweden,SWE,79395
Switzerland,CHE,34477
Syria,SYR,674
Taiwan*,TWN,462
Tajikistan,TJK,7235
Tanzania,TZA,509
Thailand,THA,3297
Timor-Leste,TLS,24
Togo,TGO,874
Trinidad and Tobago,TTO,148
Tunisia,TUN,1455
Turkey,TUR,227019
US,USA,4290259
Uganda,UGA,1128
Ukraine,UKR,67096
United Arab Emirates,ARE,59177
United Kingdom,GBR,301708
Uruguay,URY,1202
Uzbekistan,UZB,21209
Venezuela,VEN,15988
Vietnam,VNM,431
West Bank and Gaza,PSE,10621
Western Sahara,ESH,10
Yemen,YEM,1691
Zambia,ZMB,4552
Zimbabwe,ZWE,2704
